Time,Lat,Long,accel_x,accel_y,accel_z
1720075453897,11.1037483,76.9830453,0.096000001,-0.096000001,0.959999979
1720075453901,11.1037483,76.9828658,0.096000001,-0.096000001,0.959999979
1720075454905,11.1041086,76.9828658,0.143999994,-0.192000002,1.008000016
1720075454908,11.1041086,76.9826911,0.143999994,-0.192000002,1.008000016
1720075455913,11.1044621,76.9826911,0.048,-0.287999988,0.959999979
1720075455916,11.1044621,76.9825096,0.048,-0.287999988,0.959999979
1720075456921,11.1047295,76.9825096,0.143999994,-0.192000002,0.959999979
1720075456924,11.1047295,76.9820356,0.143999994,-0.192000002,0.959999979
1720075457928,11.1050081,76.9820356,0.192000002,-0.096000001,0.912
1720075457931,11.1050081,76.9817708,0.192000002,-0.096000001,0.912
1720075458934,11.1051726,76.9817708,0.096000001,-0.096000001,1.008000016
1720075458939,11.1051726,76.9815198,0.096000001,-0.096000001,1.008000016
1720075459942,11.1053071,76.9815198,0.096000001,0.048,0.959999979
1720075459946,11.1053071,76.9812783,0.096000001,0.048,0.959999979
1720075460949,11.1055178,76.9812783,0.096000001,0.048,1.008000016
1720075460953,11.1055178,76.9807731,0.096000001,0.048,1.008000016
1720075461959,11.1058676,76.9807731,0.096000001,-0.048,0.959999979
1720075461963,11.1058676,76.980543,0.096000001,-0.048,0.959999979
1720075462967,11.1062185,76.980543,0.192000002,0,0.912
1720075462970,11.1062185,76.9803138,0.192000002,0,0.912
1720075463976,11.1065733,76.9803138,-0.096000001,0.096000001,0.959999979
1720075463979,11.1065733,76.9800888,-0.096000001,0.096000001,0.959999979
1720075464984,11.1065823,76.9800888,0,0,1.008000016
1720075464988,11.1065823,76.9800098,0,0,1.008000016
1720075465992,11.1035823,76.9800098,-0.048,0,0.959999979
1720075465995,11.1035823,76.981944,-0.048,0,0.959999979
1720075466998,11.1025651,76.981944,0.096000001,0.048,0.912
1720075467002,11.1025651,76.9824653,0.096000001,0.048,0.912
1720075468006,11.10165,76.9824653,0.096000001,0,0.959999979
1720075468010,11.10165,76.9832958,0.096000001,0,0.959999979
1720075469014,11.1009075,76.9832958,0.096000001,0.048,0.959999979
1720075469017,11.1009075,76.9840765,0.096000001,0.048,0.959999979
1720075470020,11.1005303,76.9840765,0.048,0,0.959999979
1720075470024,11.1005303,76.9844891,0.048,0,0.959999979
1720075471028,11.100076,76.9844891,0.048,0,1.008000016
1720075471031,11.100076,76.9849116,0.048,0,1.008000016
1720075472036,11.0996006,76.9849116,0.096000001,0,0.959999979
1720075472039,11.0996006,76.9853461,0.096000001,0,0.959999979
1720075473043,11.0994143,76.9853461,0.096000001,-0.048,0.959999979
1720075473046,11.0994143,76.9854891,0.096000001,-0.048,0.959999979
1720075474064,11.0992173,76.9854891,0.096000001,-0.048,0.959999979
1720075474070,11.0992173,76.9856488,0.096000001,-0.048,0.959999979
1720075475075,11.0990786,76.9856488,0.096000001,-0.048,0.959999979
1720075475078,11.0990786,76.985787,0.096000001,-0.048,0.959999979
1720075476089,11.0989578,76.985787,0.143999994,-0.048,0.959999979
1720075476093,11.0989578,76.9858825,0.143999994,-0.048,0.959999979
1720075477107,11.0988701,76.9858825,0.096000001,-0.048,1.008000016
1720075477109,11.0988701,76.9859595,0.096000001,-0.048,1.008000016
1720075478121,11.0988105,76.9859595,0.096000001,0,0.959999979
1720075478124,11.0988105,76.9860141,0.096000001,0,0.959999979
1720075479134,11.0987605,76.9860141,0.096000001,0.048,0.959999979
1720075479137,11.0987605,76.9860523,0.096000001,0.048,0.959999979
1720075480146,11.0987026,76.9860523,0.096000001,0,0.959999979
1720075480149,11.0987026,76.9861118,0.096000001,0,0.959999979
1720075481162,11.0986415,76.9861118,0.096000001,0,0.912
1720075481165,11.0986415,76.9861623,0.096000001,0,0.912
1720075482169,11.0985735,76.9861623,0.096000001,0,0.959999979
1720075482172,11.0985735,76.9862178,0.096000001,0,0.959999979
1720075483178,11.0985206,76.9862178,0.096000001,0,0.959999979
1720075483182,11.0985206,76.986261,0.096000001,0,0.959999979
1720075484186,11.0984808,76.986261,0.096000001,0,0.912
1720075484189,11.0984808,76.986306,0.096000001,0,0.912
1720075485193,11.0984426,76.986306,0.143999994,0,0.959999979
1720075485197,11.0984426,76.9863446,0.143999994,0,0.959999979
1720075486201,11.0984001,76.9863446,0.096000001,0,0.959999979
1720075486204,11.0984001,76.9863695,0.096000001,0,0.959999979
1720075487209,11.0983751,76.9863695,0.096000001,0.048,0.912
1720075487214,11.0983751,76.9863936,0.096000001,0.048,0.912
1720075488219,11.0983556,76.9863936,0.096000001,0,0.959999979
1720075488222,11.0983556,76.9864073,0.096000001,0,0.959999979
1720075489228,11.0983356,76.9864073,0.096000001,0,0.959999979
